QUAL	0	116.3	1	0	1	0
QUAL	0	116.4	3	1	2	0
QUAL	0	116.5	1	0	1	0
QUAL	0	117.0	63	42	21	0
QUAL	0	117.2	8	5	3	0
QUAL	0	117.4	3	2	1	0
QUAL	0	118.0	62	42	20	0
QUAL	0	119.0	19	9	10	0
QUAL	0	119.4	4	4	0	0
QUAL	0	120.0	57	40	17	0
QUAL	0	120.2	3	3	0	0
QUAL	0	120.3	1	1	0	0
QUAL	0	120.4	1	0	1	0
QUAL	0	121.0	56	36	20	0
QUAL	0	121.3	2	2	0	0
QUAL	0	121.6	1	0	1	0
QUAL	0	122.0	32	23	9	0
QUAL	0	122.4	2	1	1	0
QUAL	0	122.6	1	0	1	0
QUAL	0	123.0	48	33	15	0
QUAL	0	123.2	5	5	0	0
QUAL	0	123.3	1	1	0	0
QUAL	0	123.4	2	2	0	0
QUAL	0	124.0	79	55	24	0
QUAL	0	124.3	4	3	1	0
QUAL	0	125.0	26	21	5	0
QUAL	0	125.4	5	5	0	0
QUAL	0	126.0	60	45	15	0
QUAL	0	126.2	3	2	1	0
QUAL	0	127.0	86	54	32	0
QUAL	0	127.2	1	0	1	0
QUAL	0	127.3	6	4	2	0
QUAL	0	127.4	3	2	1	0
QUAL	0	128.0	25	18	7	0
QUAL	0	128.2	1	0	1	0
QUAL	0	128.4	11	9	2	0
QUAL	0	129.0	40	32	8	0
QUAL	0	129.2	1	0	1	0
QUAL	0	129.4	4	3	1	0
QUAL	0	130.0	86	63	23	0
QUAL	0	130.2	1	1	0	0
QUAL	0	130.3	9	6	3	0
QUAL	0	130.4	4	4	0	0
QUAL	0	131.0	27	20	7	0
QUAL	0	131.2	2	2	0	0
QUAL	0	131.4	7	4	3	0
QUAL	0	132.0	49	30	19	0
QUAL	0	132.2	1	0	1	0
QUAL	0	132.3	1	1	0	0
QUAL	0	132.4	2	1	1	0
QUAL	0	132.7	1	1	0	0
QUAL	0	133.0	72	46	26	0
QUAL	0	133.3	5	3	2	0
QUAL	0	133.4	5	3	2	0
QUAL	0	133.8	2	2	0	0
QUAL	0	134.0	45	27	18	0
QUAL	0	134.2	1	1	0	0
QUAL	0	134.4	12	10	2	0
QUAL	0	135.0	52	35	17	0
QUAL	0	135.2	3	1	2	0
QUAL	0	135.4	2	1	1	0
QUAL	0	136.0	73	46	27	0
QUAL	0	136.3	7	6	1	0
QUAL	0	136.4	2	0	2	0
QUAL	0	137.0	37	25	12	0
QUAL	0	137.2	3	1	2	0
QUAL	0	137.3	2	2	0	0
QUAL	0	137.4	9	6	3	0
QUAL	0	138.0	51	36	15	0
QUAL	0	138.2	4	3	1	0
QUAL	0	138.3	1	1	0	0
QUAL	0	138.4	5	4	1	0
QUAL	0	139.0	70	40	30	0
QUAL	0	139.2	1	1	0	0
QUAL	0	139.3	3	2	1	0
QUAL	0	139.4	5	2	3	0
QUAL	0	140.0	41	29	12	0
QUAL	0	140.2	2	2	0	0
QUAL	0	140.4	9	5	4	0
QUAL	0	141.0	56	45	11	0
QUAL	0	141.2	4	3	1	0
QUAL	0	141.3	1	1	0	0
QUAL	0	141.4	1	0	1	0
QUAL	0	142.0	65	38	27	0
QUAL	0	142.1	1	1	0	0
QUAL	0	142.2	3	2	1	0
QUAL	0	142.3	5	3	2	0
QUAL	0	142.4	1	1	0	0
QUAL	0	143.0	46	31	15	0
QUAL	0	143.2	3	1	2	0
QUAL	0	143.3	1	1	0	0
QUAL	0	143.4	8	4	4	0
QUAL	0	143.5	2	1	1	0
QUAL	0	144.0	59	42	17	0
QUAL	0	144.2	5	3	2	0
QUAL	0	144.3	1	1	0	0
QUAL	0	144.4	5	3	2	0
